Ragione sociale;Tipo organizzazione;Indirizzo;Comune;Telefono;Email;Referente Email
COMET SPA;AZIENDA;VIA TRENTINO,1;SONA;521296711;nicolacavina@gruppocomet.it;
MARCHIOL SPA;AZIENDA;VIALE DELLA REPUBBLICA 41;VILLORBA;458569712;ufficio.personale@marchiol.com;
DATA CHECK;AZIENDA;VIA MONTI BERICI,6;SAN GIOVANNI LUPATOTO;458003079;info@datacheck.it;
FINE TUNING CONSULENZA INTEGRATA S.R.L.;AZIENDA;VIA CA' DI COZZI, 14;VERONA;458877221;info@finetuning.it;
FINE TUNING CONSULENZA INTEGRATA S.R.L.;AZIENDA;VIA CA' DI COZZI, 14;VERONA;458877221;info@finetuning.it;
FIORINI E ADAMI S.R.L.;AZIENDA;V.LE ARCHIMEDE, 17;SANTA MARIA DI ZEVIO;458731573;amministrazione@fioriniadami.it;
HIT INTERNET TECNOLOGIES SRL;AZIENDA;VIA PACE, 5;AFFI;456209711;giacomo.migliori@hit.it;
HIT INTERNET TECNOLOGIES SRL;AZIENDA;VIA PACE, 5;AFFI;456209711;giacomo.migliori@hit.it;
RTC SPA;AZIENDA;VIA EDISON, 31 LOC.CAMPAGNOLA;VERONA;458738711;luca.mingon@rtc-spa.it;
RTC SPA;AZIENDA;VIA EDISON, 31 LOC.CAMPAGNOLA;VERONA;458738711;luca.mingon@rtc-spa.it;
RTC SPA;AZIENDA;VIA EDISON, 31 LOC.CAMPAGNOLA;VERONA;458738711;luca.mingon@rtc-spa.it;
S.I.A. S.R.L.;AZIENDA;VIA VERDI, 26F;CASTEL D'AZZANO;45512900;giovanna.molinari@siavr.it;
TECNORULLI S.R.L.;AZIENDA;VIA MONTE COMUN;SAN GIOVANNI LUPATOTO;458750300;oliver.beiso@tecnorulli.com ;
SIPRO S.R.L.;AZIENDA;VIALE DELL'INDUSTRIA, 7;VERONA;45508822;ivo.tommasini@sipro.vr.it;
SIPRO S.R.L.;AZIENDA;VIALE DELL'INDUSTRIA, 7;VERONA;45508822;ivo.tommasini@sipro.vr.it;
SIPRO S.R.L.;AZIENDA;VIALE DELL'INDUSTRIA, 7;VERONA;45508822;ivo.tommasini@sipro.vr.it;
EFFEDI S.A.S.;AZIENDA;VIA SALISBURGO, 10/A;VERONA;458521430;dino.bellini@effedi.com;
ELETTROMECCANICA VENETA S.R.L.;AZIENDA;VIA CASA CUCHI, 7;NEGRAR;456020136;ev@elettromeccanicaveneta.it;
AUDIO VIDEO VERONA;AZIENDA;C.SO MILANO, 112;VERONA;45575599;info@audiovideoverona.191.it;
GUIDO BIANCHI & C. SRL;AZIENDA;CIRC.NE MARONCELLI, 7/D;VERONA;45590011;info@guidobianchi.it;
COMPUTERS CENTER S.N.C.;AZIENDA;VIA QUADRATO, 92;VILLAFRANCA DI VERONA;456300589;nicola@computerscenter.com;
SHARE DISTRIBUZIONE S.R.L.;AZIENDA;VIA C. BATTISTI, 242;SAN GIOVANNI LUPATOTO;458751535;info@shared.it;
IDRAULICA FIORINI SRL;AZIENDA;V.LE ARCHIMEDE , 11;S. MARIA DI ZEVIO;;;
EB NEURO S.P.A.;AZIENDA;VIA P. FANFANI, 97/A;FIRENZE;456028111;info@ehneuro.com;
